wash,mu,nu,spread,mixsat,d_orzelwp,d_orzelaf,d_earth,d_benchy,total,max
0.9,0.30,0,0.3,30,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,10,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,15,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,22,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,45,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,70,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,120,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0.30,0,0.3,1000000,1.805,2.120,0.055,6.463,10.4430,6.4630
0.9,0,0,0.3,30,6.614,4.134,6.501,6.463,23.7120,6.6140
0.9,0.05,0,0.3,30,6.614,4.134,6.501,6.463,23.7120,6.6140
0.9,0.10,0,0.3,30,6.614,2.479,3.318,6.463,18.8740,6.6140
0.9,0.15,0,0.3,30,6.614,2.479,3.318,6.463,18.8740,6.6140
0.9,0.18,0,0.3,30,1.805,2.479,3.318,6.463,14.0650,6.4630
0.9,0.22,0,0.3,30,1.805,2.479,3.318,6.463,14.0650,6.4630
0.9,0.26,0,0.3,30,1.805,2.479,0.055,6.463,10.8020,6.4630
0.9,0.40,0,0.3,30,1.805,2.253,0.055,6.463,10.5760,6.4630
0.2,0.30,0,0.3,30,1.805,2.120,0.055,6.463,10.4430,6.4630
0.4,0.30,0,0.3,30,1.805,2.120,0.055,6.463,10.4430,6.4630
0.6,0.30,0,0.3,30,1.805,2.120,0.055,6.463,10.4430,6.4630
0.75,0.30,0,0.3,30,1.805,2.120,0.055,6.463,10.4430,6.4630
1.05,0.30,0,0.3,30,1.937,2.479,0.055,6.463,10.9340,6.4630
1.2,0.30,0,0.3,30,1.937,2.479,0.055,6.463,10.9340,6.4630
1.5,0.30,0,0.3,30,1.937,2.479,0.055,6.463,10.9340,6.4630
0.9,0.30,0.04,0.3,30,1.937,2.424,3.318,6.463,14.1420,6.4630
0.9,0.30,0.08,0.3,30,1.937,2.424,3.318,6.463,14.1420,6.4630
0.9,0.30,0.15,0.3,30,6.448,2.424,6.281,6.463,21.6160,6.4630
0.9,0.30,0,0.15,30,1.937,2.120,0.055,6.463,10.5750,6.4630
0.9,0.30,0,0.5,30,1.805,2.253,0.055,6.463,10.5760,6.4630
0.9,0.30,0,0.7,30,1.805,2.253,6.281,6.463,16.8020,6.4630
0.9,0.30,0,1.0,30,1.805,2.424,6.281,6.463,16.9730,6.4630
0.9,0.30,0,1.5,30,1.805,2.424,2.889,6.463,13.5810,6.4630
0.9,0.30,0,2.0,30,1.805,2.424,2.889,6.463,13.5810,6.4630
